record_id,txn_ref,amount,date,narration
bk_pay_8622007b5f_b,pay_8622007b5f,21407.68,2026-08-27T00:00:00,Partial settlement 2/2
bk_pay_ca8cfe2df6,pay_ca8cfe2df6,14307.51,2026-08-13T00:00:00,Order #45382 - Subscription
bk_pay_6c060e39ea_dup,pay_6c060e39ea,79008.83,2026-08-27T00:00:00,Order #50306 - Subscription (dup)
bk_pay_a003368541,pay_a003368541,5621.77,2026-08-24T00:00:00,Order #54473 - Retail
bk_pay_59225328b0,pay_59225328b0,63622.67,2026-08-14T00:00:00,Order #86484 - Marketplace
bk_pay_ad9316f380,pay_ad9316f380,51971.57,2026-08-06T00:00:00,Order #80010 - Subscription
bk_pay_a8795f95e1,pay_a8795f95e1,464.54,2026-08-24T00:00:00,Partial settlement 1/2
bk_pay_e44b315d79,pay_e44b315d79,54531.56,2026-08-01T00:00:00,Order #46048 - Subscription
bk_pay_c3a58c72d0,pay_c3a58c72d0,70188.64,2026-08-17T00:00:00,NEFT settlement 8c72d0
bk_pay_38ecae2919,pay_38ecae2919,21608.64,2026-08-03T00:00:00,Order #68082 - Retail
bk_pay_c07bae46ef,pay_c07bae46ef,12345.4,2026-08-06T00:00:00,Order #46509 - Marketplace
bk_pay_3b682bc27c,pay_3b682bc27c,69942.32,2026-08-26T00:00:00,Order #51347 - Marketplace
bk_pay_bbc7d7d6c7,pay_bbc7d7d6c7,58607.74,2026-08-22T00:00:00,NEFT settlement d7d6c7
bk_pay_51b14827db,pay_51b14827db,9926.16,2026-08-14T00:00:00,Order #30730 - Marketplace
bk_pay_567dfb860e_b,pay_567dfb860e,32795.47,2026-08-19T00:00:00,Partial settlement 2/2
bk_pay_6c060e39ea,pay_6c060e39ea,79008.83,2026-08-27T00:00:00,Order #50306 - Subscription
bk_pay_df80b3f736,pay_df80b3f736,51110.82,2026-08-19T00:00:00,Order #12552 - Retail
bk_pay_7a32f2b26d,pay_7a32f2b26d,56942.44,2026-08-18T00:00:00,NEFT settlement f2b26d
bk_pay_9e866432bf_b,pay_9e866432bf,24014.53,2026-08-03T00:00:00,Partial settlement 2/2
bk_pay_e7b3ad2a06,pay_e7b3ad2a06,47925.21,2026-08-23T00:00:00,Order #95181 - Marketplace
bk_pay_a6093e426c,pay_a6093e426c,45210.16,2026-08-18T00:00:00,Order #11504 - Retail
bk_pay_9789fe88e6,pay_9789fe88e6,22511.68,2026-08-17T00:00:00,Partial settlement 1/2
bk_pay_0437e55e5e,pay_0437e55e5e,8337.02,2026-08-07T00:00:00,Order #57052 - B2B Invoice
bk_pay_fb90464415,pay_fb90464415,50896.56,2026-08-18T00:00:00,Order #60019 - Marketplace
bk_pay_ae03fea626,pay_ae03fea626,23124.1,2026-08-07T00:00:00,Order #84341 - B2B Invoice
bk_pay_9789fe88e6_b,pay_9789fe88e6,15007.78,2026-08-18T00:00:00,Partial settlement 2/2
bk_pay_dd135967c0_b,pay_dd135967c0,2157.87,2026-08-20T00:00:00,Partial settlement 2/2
