record_id,txn_ref,amount,date,narration
lg_pay_fd16ee0ba7,pay_fd16ee0ba7,13414.92,2026-08-25T00:00:00,Order #31174 - Retail
lg_pay_bbc7d7d6c7,pay_bbc7d7d6c7,59803.82,2026-08-22T00:00:00,Order #94939 - Retail
lg_pay_fb90464415,pay_fb90464415,50896.56,2026-08-13T00:00:00,Order #60019 - Marketplace
lg_pay_51b14827db,pay_51b14827db,9926.16,2026-08-14T00:00:00,Order #30730 - Marketplace
lg_pay_5ad8645f3d,pay_5ad8645f3d,14244.27,2026-08-12T00:00:00,Order #37460 - B2B Invoice
lg_pay_6a1ac65938,pay_6a1ac65938,58349.9,2026-08-27T00:00:00,Order #17331 - Subscription
lg_pay_5bf25bc5db,pay_5bf25bc5db,43399.1,2026-08-04T00:00:00,Order #91959 - B2B Invoice
lg_pay_31af50c434,pay_31af50c434,45811.27,2026-08-13T00:00:00,Order #20328 - B2B Invoice
lg_pay_a6fee2b526,pay_a6fee2b526,64619.22,2026-08-06T00:00:00,Order #65392 - B2B Invoice
lg_pay_7a32f2b26d,pay_7a32f2b26d,58104.53,2026-08-18T00:00:00,Order #44973 - B2B Invoice
lg_pay_a003368541,pay_a003368541,5621.77,2026-08-24T00:00:00,Order #54473 - Retail
lg_pay_3b682bc27c,pay_3b682bc27c,69942.32,2026-08-26T00:00:00,Order #51347 - Marketplace
lg_pay_a8795f95e1,pay_a8795f95e1,774.23,2026-08-24T00:00:00,Order #44522 - Subscription
lg_pay_02bd12bf86,pay_02bd12bf86,19127.23,2026-08-19T00:00:00,Order #46463 - Retail
lg_pay_dd135967c0,pay_dd135967c0,5394.68,2026-08-19T00:00:00,Order #20322 - Retail
lg_pay_e7b3ad2a06,pay_e7b3ad2a06,47925.21,2026-08-23T00:00:00,Order #95181 - Marketplace
lg_pay_44dd0c6372,pay_44dd0c6372,78778.01,2026-08-28T00:00:00,Order #40982 - Subscription
lg_pay_6403491d6c,pay_6403491d6c,70584.69,2026-08-20T00:00:00,Order #57400 - Subscription
lg_pay_c07bae46ef,pay_c07bae46ef,12345.4,2026-08-06T00:00:00,Order #46509 - Marketplace
lg_pay_6c060e39ea,pay_6c060e39ea,79008.83,2026-08-27T00:00:00,Order #50306 - Subscription
